date,city,cases,country
2021-08-17,Winnipeg,8,Canada
2021-08-18,Winnipeg,14,Canada
2021-08-19,Winnipeg,18,Canada
2021-08-20,Winnipeg,16,Canada
2021-08-21,Winnipeg,11,Canada
2021-08-22,Winnipeg,7,Canada
2021-08-23,Winnipeg,14,Canada
2021-08-24,Winnipeg,25,Canada
2021-08-25,Winnipeg,14,Canada
2021-08-26,Winnipeg,8,Canada
2021-08-27,Winnipeg,26,Canada
2021-08-28,Winnipeg,23,Canada
2021-08-29,Winnipeg,11,Canada
2021-08-30,Winnipeg,10,Canada
2021-08-31,Winnipeg,15,Canada
2021-09-01,Winnipeg,15,Canada
2021-09-02,Winnipeg,16,Canada
2021-09-03,Winnipeg,16,Canada
2021-09-04,Winnipeg,13,Canada
2021-09-05,Winnipeg,14,Canada
2021-09-06,Winnipeg,18,Canada
2021-09-07,Winnipeg,19,Canada
2021-09-08,Winnipeg,12,Canada
2021-09-09,Winnipeg,37,Canada
2021-09-10,Winnipeg,22,Canada
2021-09-11,Winnipeg,11,Canada
2021-09-12,Winnipeg,14,Canada
2021-09-13,Winnipeg,6,Canada
2021-09-14,Winnipeg,19,Canada
2021-09-15,Winnipeg,14,Canada
2021-09-16,Winnipeg,23,Canada
2021-09-17,Winnipeg,14,Canada
2021-09-18,Winnipeg,18,Canada
2021-09-19,Winnipeg,12,Canada
2021-09-20,Winnipeg,12,Canada
2021-09-21,Winnipeg,14,Canada
2021-09-22,Winnipeg,18,Canada
2021-09-23,Winnipeg,14,Canada
2021-09-24,Winnipeg,27,Canada
2021-09-25,Winnipeg,31,Canada
2021-09-26,Winnipeg,17,Canada
2021-09-27,Winnipeg,12,Canada
2021-09-28,Winnipeg,27,Canada
2021-09-29,Winnipeg,16,Canada
2021-09-30,Winnipeg,19,Canada
2021-10-01,Winnipeg,19,Canada
2021-10-02,Winnipeg,39,Canada
2021-10-03,Winnipeg,21,Canada
2021-10-04,Winnipeg,23,Canada
2021-10-05,Winnipeg,19,Canada
2021-10-06,Winnipeg,26,Canada
2021-10-07,Winnipeg,17,Canada
2021-10-08,Winnipeg,14,Canada
2021-10-09,Winnipeg,31,Canada
2021-10-10,Winnipeg,14,Canada
2021-10-11,Winnipeg,17,Canada
2021-10-12,Winnipeg,13,Canada
2021-10-13,Winnipeg,12,Canada
2021-10-14,Winnipeg,18,Canada
2021-10-15,Winnipeg,29,Canada
2021-10-16,Winnipeg,19,Canada
2021-10-17,Winnipeg,9,Canada
2021-10-18,Winnipeg,19,Canada
2021-10-19,Winnipeg,11,Canada
2021-10-20,Winnipeg,14,Canada
2021-10-21,Winnipeg,31,Canada
2021-10-22,Winnipeg,15,Canada
2021-10-23,Winnipeg,56,Canada
2021-10-24,Winnipeg,13,Canada
2021-10-25,Winnipeg,7,Canada
2021-10-26,Winnipeg,14,Canada
2021-10-27,Winnipeg,7,Canada
2021-10-28,Winnipeg,22,Canada
2021-10-29,Winnipeg,22,Canada
2021-10-30,Winnipeg,21,Canada
2021-10-31,Winnipeg,25,Canada
2021-11-01,Winnipeg,19,Canada
2021-11-02,Winnipeg,37,Canada
2021-11-03,Winnipeg,30,Canada
2021-11-04,Winnipeg,30,Canada
2021-11-05,Winnipeg,48,Canada
2021-11-06,Winnipeg,40,Canada
2021-11-07,Winnipeg,63,Canada
2021-11-08,Winnipeg,49,Canada
2021-11-09,Winnipeg,30,Canada
2021-11-10,Winnipeg,35,Canada
2021-11-11,Winnipeg,37,Canada
2021-11-12,Winnipeg,57,Canada
2021-11-13,Winnipeg,45,Canada
2021-11-14,Winnipeg,32,Canada
2021-11-15,Winnipeg,29,Canada
2021-11-16,Winnipeg,40,Canada
2021-11-17,Winnipeg,44,Canada
2021-11-18,Winnipeg,60,Canada
2021-11-19,Winnipeg,37,Canada
2021-11-20,Winnipeg,38,Canada
2021-11-21,Winnipeg,26,Canada
2021-11-22,Winnipeg,33,Canada
2021-11-23,Winnipeg,27,Canada
