date,city,cases,country
2021-10-17,San Martin,3,Peru
2021-10-18,San Martin,8,Peru
2021-10-19,San Martin,10,Peru
2021-10-20,San Martin,18,Peru
2021-10-21,San Martin,10,Peru
2021-10-22,San Martin,10,Peru
2021-10-23,San Martin,8,Peru
2021-10-24,San Martin,1,Peru
2021-10-25,San Martin,7,Peru
2021-10-26,San Martin,8,Peru
2021-10-27,San Martin,16,Peru
2021-10-28,San Martin,3,Peru
2021-10-29,San Martin,11,Peru
2021-10-30,San Martin,1,Peru
2021-10-31,San Martin,0,Peru
2021-11-01,San Martin,6,Peru
2021-11-02,San Martin,11,Peru
2021-11-03,San Martin,8,Peru
2021-11-04,San Martin,12,Peru
2021-11-05,San Martin,4,Peru
2021-11-06,San Martin,8,Peru
2021-11-07,San Martin,1,Peru
2021-11-08,San Martin,9,Peru
2021-11-09,San Martin,10,Peru
2021-11-10,San Martin,12,Peru
2021-11-11,San Martin,12,Peru
2021-11-12,San Martin,7,Peru
2021-11-13,San Martin,15,Peru
2021-11-14,San Martin,5,Peru
2021-11-15,San Martin,16,Peru
2021-11-16,San Martin,21,Peru
2021-11-17,San Martin,7,Peru
2021-11-18,San Martin,6,Peru
2021-11-19,San Martin,9,Peru
2021-11-20,San Martin,7,Peru
2021-11-21,San Martin,0,Peru
2021-11-22,San Martin,7,Peru
2021-11-23,San Martin,6,Peru
2021-11-24,San Martin,8,Peru
2021-11-25,San Martin,16,Peru
2021-11-26,San Martin,12,Peru
2021-11-27,San Martin,13,Peru
2021-11-28,San Martin,5,Peru
2021-11-29,San Martin,9,Peru
2021-11-30,San Martin,3,Peru
2021-12-01,San Martin,10,Peru
2021-12-02,San Martin,5,Peru
2021-12-03,San Martin,7,Peru
2021-12-04,San Martin,4,Peru
2021-12-05,San Martin,2,Peru
2021-12-06,San Martin,17,Peru
2021-12-07,San Martin,11,Peru
2021-12-08,San Martin,5,Peru
2021-12-09,San Martin,9,Peru
2021-12-10,San Martin,15,Peru
2021-12-11,San Martin,5,Peru
2021-12-12,San Martin,4,Peru
2021-12-13,San Martin,17,Peru
2021-12-14,San Martin,14,Peru
2021-12-15,San Martin,13,Peru
2021-12-16,San Martin,5,Peru
2021-12-17,San Martin,8,Peru
2021-12-18,San Martin,12,Peru
2021-12-19,San Martin,1,Peru
2021-12-20,San Martin,11,Peru
2021-12-21,San Martin,10,Peru
2021-12-22,San Martin,4,Peru
2021-12-23,San Martin,6,Peru
2021-12-24,San Martin,4,Peru
2021-12-25,San Martin,3,Peru
2021-12-26,San Martin,4,Peru
2021-12-27,San Martin,20,Peru
2021-12-28,San Martin,22,Peru
2021-12-29,San Martin,25,Peru
2021-12-30,San Martin,27,Peru
2021-12-31,San Martin,13,Peru
2022-01-01,San Martin,10,Peru
2022-01-02,San Martin,9,Peru
2022-01-03,San Martin,39,Peru
2022-01-04,San Martin,60,Peru
2022-01-05,San Martin,77,Peru
2022-01-06,San Martin,133,Peru
2022-01-07,San Martin,91,Peru
2022-01-08,San Martin,204,Peru
2022-01-09,San Martin,109,Peru
2022-01-10,San Martin,206,Peru
2022-01-11,San Martin,215,Peru
2022-01-12,San Martin,441,Peru
2022-01-13,San Martin,512,Peru
2022-01-14,San Martin,648,Peru
2022-01-15,San Martin,431,Peru
2022-01-16,San Martin,221,Peru
2022-01-17,San Martin,700,Peru
2022-01-18,San Martin,692,Peru
2022-01-19,San Martin,711,Peru
2022-01-20,San Martin,615,Peru
2022-01-21,San Martin,729,Peru
2022-01-22,San Martin,445,Peru
2022-01-23,San Martin,144,Peru
2022-01-24,San Martin,598,Peru
2022-01-25,San Martin,590,Peru
2022-01-26,San Martin,373,Peru
2022-01-27,San Martin,478,Peru
2022-01-28,San Martin,361,Peru
2022-01-29,San Martin,249,Peru
2022-01-30,San Martin,88,Peru
2022-01-31,San Martin,262,Peru
2022-02-01,San Martin,220,Peru
2022-02-02,San Martin,206,Peru
2022-02-03,San Martin,189,Peru
2022-02-04,San Martin,180,Peru
2022-02-05,San Martin,120,Peru
2022-02-06,San Martin,38,Peru
2022-02-07,San Martin,118,Peru
2022-02-08,San Martin,88,Peru
2022-02-09,San Martin,87,Peru
2022-02-10,San Martin,75,Peru
2022-02-11,San Martin,65,Peru
2022-02-12,San Martin,43,Peru
2022-02-13,San Martin,27,Peru
2022-02-14,San Martin,38,Peru
2022-02-15,San Martin,43,Peru
2022-02-16,San Martin,23,Peru
2022-02-17,San Martin,22,Peru
2022-02-18,San Martin,39,Peru
2022-02-19,San Martin,17,Peru
2022-02-20,San Martin,13,Peru
