"regionname","date","cases"
"Northern Territory",2020-04-28,28
"Queensland",2020-04-28,1034
"South Australia",2020-04-28,438
"Tasmania",2020-04-28,218
"Victoria",2020-04-28,1354
"Western Australia",2020-04-28,550
"Australian Capital Territory",2020-04-29,106
"New South Wales",2020-04-29,3016
"Northern Territory",2020-04-29,28
"Queensland",2020-04-29,1033
"South Australia",2020-04-29,438
"Tasmania",2020-04-29,219
"Victoria",2020-04-29,1361
"Western Australia",2020-04-29,551
"Australian Capital Territory",2020-04-30,106
"New South Wales",2020-04-30,3025
"Northern Territory",2020-04-30,28
"Queensland",2020-04-30,1033
"South Australia",2020-04-30,438
"Tasmania",2020-04-30,221
"Victoria",2020-04-30,1364
"Western Australia",2020-04-30,551
"Australian Capital Territory",2020-05-01,106
"New South Wales",2020-05-01,3030
"Northern Territory",2020-05-01,27
"Queensland",2020-05-01,1034
"South Australia",2020-05-01,438
"Tasmania",2020-05-01,221
"Victoria",2020-05-01,1371
"Western Australia",2020-05-01,551
"Australian Capital Territory",2020-05-02,106
"New South Wales",2020-05-02,3035
"Northern Territory",2020-05-02,29
"Queensland",2020-05-02,1035
"South Australia",2020-05-02,438
"Tasmania",2020-05-02,221
"Victoria",2020-05-02,1384
"Western Australia",2020-05-02,551
"Australian Capital Territory",2020-05-03,106
"New South Wales",2020-05-03,3033
"Northern Territory",2020-05-03,29
"Queensland",2020-05-03,1038
"South Australia",2020-05-03,438
"Tasmania",2020-05-03,221
"Victoria",2020-05-03,1406
"Western Australia",2020-05-03,551
"Australian Capital Territory",2020-05-04,107
"New South Wales",2020-05-04,3035
"Northern Territory",2020-05-04,29
"Queensland",2020-05-04,1043
"South Australia",2020-05-04,438
"Tasmania",2020-05-04,221
"Victoria",2020-05-04,1423
"Western Australia",2020-05-04,551
"Australian Capital Territory",2020-05-05,107
"New South Wales",2020-05-05,3042
"Northern Territory",2020-05-05,29
"Queensland",2020-05-05,1043
"South Australia",2020-05-05,438
"Tasmania",2020-05-05,225
"Victoria",2020-05-05,1440
